id,service_id,base_price,category,created_at,description,estimated_duration_minutes,icon_name,is_active,name,updated_at,pet_type,country_code
37,GB-CAT-BASIC-001,50,basic,2025-11-26 15:05:07.985031,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:07.98504,cat,GB
38,GB-CAT-PREMIUM-001,65,premium,2025-11-26 15:05:08.040999,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:08.041004,cat,GB
39,GB-CAT-PREMIUM-002,85,premium,2025-11-26 15:05:08.097032,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:08.097037,cat,GB
40,GB-DOG-BASIC-001,45,basic,2025-11-26 15:05:08.153596,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:08.153604,dog,GB
41,GB-DOG-PREMIUM-001,65,premium,2025-11-26 15:05:08.209658,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:08.209667,dog,GB
42,GB-DOG-PREMIUM-002,90,premium,2025-11-26 15:05:08.265234,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:08.265239,dog,GB
43,GB-BOTH-SUBSCRIPTION-001,320,subscription,2025-11-26 15:05:08.321406,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:08.321413,both,GB
44,GB-BOTH-SUBSCRIPTION-002,480,subscription,2025-11-26 15:05:08.376427,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:08.376432,both,GB
45,GB-BOTH-SUBSCRIPTION-003,680,subscription,2025-11-26 15:05:08.42933,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:08.429333,both,GB
46,GB-BOTH-SUBSCRIPTION-004,950,subscription,2025-11-26 15:05:08.481671,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:08.481676,both,GB
47,GB-BOTH-SPECIALTY-001,150,specialty,2025-11-26 15:05:08.533811,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:08.533819,both,GB
48,GB-BOTH-SPECIALTY-002,90,specialty,2025-11-26 15:05:08.585956,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:08.585965,both,GB
49,CA-CAT-BASIC-001,80,basic,2025-11-26 15:05:08.648805,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:08.648817,cat,CA
50,CA-CAT-PREMIUM-001,100,premium,2025-11-26 15:05:08.701861,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:08.701881,cat,CA
51,CA-CAT-PREMIUM-002,125,premium,2025-11-26 15:05:08.753967,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:08.753979,cat,CA
52,CA-DOG-BASIC-001,75,basic,2025-11-26 15:05:08.811039,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:08.811051,dog,CA
53,CA-DOG-PREMIUM-001,100,premium,2025-11-26 15:05:08.866052,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:08.866059,dog,CA
54,CA-DOG-PREMIUM-002,130,premium,2025-11-26 15:05:08.922095,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:08.9221,dog,CA
55,CA-BOTH-SUBSCRIPTION-001,450,subscription,2025-11-26 15:05:08.978136,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:08.978145,both,CA
56,CA-BOTH-SUBSCRIPTION-002,680,subscription,2025-11-26 15:05:09.033743,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:09.033751,both,CA
57,CA-BOTH-SUBSCRIPTION-003,950,subscription,2025-11-26 15:05:09.085817,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:09.085821,both,CA
58,CA-BOTH-SUBSCRIPTION-004,1400,subscription,2025-11-26 15:05:09.137785,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:09.137793,both,CA
59,CA-BOTH-SPECIALTY-001,220,specialty,2025-11-26 15:05:09.189463,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:09.189471,both,CA
60,CA-BOTH-SPECIALTY-002,140,specialty,2025-11-26 15:05:09.242233,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:09.242238,both,CA
61,AU-CAT-BASIC-001,95,basic,2025-11-26 15:05:09.297688,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:09.297695,cat,AU
62,AU-CAT-PREMIUM-001,120,premium,2025-11-26 15:05:09.350555,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:09.350559,cat,AU
63,AU-CAT-PREMIUM-002,150,premium,2025-11-26 15:05:09.406626,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:09.406632,cat,AU
64,AU-DOG-BASIC-001,85,basic,2025-11-26 15:05:09.462639,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:09.462646,dog,AU
65,AU-DOG-PREMIUM-001,120,premium,2025-11-26 15:05:09.518744,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:09.518751,dog,AU
66,AU-DOG-PREMIUM-002,160,premium,2025-11-26 15:05:09.574153,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:09.574158,dog,AU
67,AU-BOTH-SUBSCRIPTION-001,520,subscription,2025-11-26 15:05:09.630172,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:09.630178,both,AU
68,AU-BOTH-SUBSCRIPTION-002,780,subscription,2025-11-26 15:05:09.686864,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:09.68687,both,AU
69,AU-BOTH-SUBSCRIPTION-003,1100,subscription,2025-11-26 15:05:09.742112,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:09.742122,both,AU
70,AU-BOTH-SUBSCRIPTION-004,1600,subscription,2025-11-26 15:05:09.793977,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:09.793981,both,AU
71,AU-BOTH-SPECIALTY-001,250,specialty,2025-11-26 15:05:09.846148,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:09.846158,both,AU
72,AU-BOTH-SPECIALTY-002,160,specialty,2025-11-26 15:05:09.899278,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:09.899288,both,AU
73,DE-CAT-BASIC-001,70,basic,2025-11-26 15:05:09.955185,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:09.955192,cat,DE
74,DE-CAT-PREMIUM-001,85,premium,2025-11-26 15:05:10.011652,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:10.011658,cat,DE
75,DE-CAT-PREMIUM-002,110,premium,2025-11-26 15:05:10.06708,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:10.067084,cat,DE
76,DE-DOG-BASIC-001,65,basic,2025-11-26 15:05:10.12236,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:10.122368,dog,DE
77,DE-DOG-PREMIUM-001,85,premium,2025-11-26 15:05:10.174403,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:10.174412,dog,DE
78,DE-DOG-PREMIUM-002,115,premium,2025-11-26 15:05:10.226446,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:10.226451,dog,DE
79,DE-BOTH-SUBSCRIPTION-001,420,subscription,2025-11-26 15:05:10.278459,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:10.278464,both,DE
80,DE-BOTH-SUBSCRIPTION-002,630,subscription,2025-11-26 15:05:10.33052,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:10.330528,both,DE
81,DE-BOTH-SUBSCRIPTION-003,890,subscription,2025-11-26 15:05:10.383546,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:10.383558,both,DE
82,DE-BOTH-SUBSCRIPTION-004,1250,subscription,2025-11-26 15:05:10.438729,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:10.43874,both,DE
83,DE-BOTH-SPECIALTY-001,180,specialty,2025-11-26 15:05:10.493999,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:10.494009,both,DE
84,DE-BOTH-SPECIALTY-002,110,specialty,2025-11-26 15:05:10.550321,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:10.550332,both,DE
85,SG-CAT-BASIC-001,85,basic,2025-11-26 15:05:10.602983,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:10.602994,cat,SG
86,SG-CAT-PREMIUM-001,105,premium,2025-11-26 15:05:10.659078,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:10.659089,cat,SG
87,SG-CAT-PREMIUM-002,135,premium,2025-11-26 15:05:10.715069,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:10.715081,cat,SG
88,SG-DOG-BASIC-001,80,basic,2025-11-26 15:05:10.771186,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:10.771199,dog,SG
89,SG-DOG-PREMIUM-001,105,premium,2025-11-26 15:05:10.827257,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:10.82727,dog,SG
90,SG-DOG-PREMIUM-002,140,premium,2025-11-26 15:05:10.883339,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:10.883353,dog,SG
91,SG-BOTH-SUBSCRIPTION-001,480,subscription,2025-11-26 15:05:10.939354,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:10.939367,both,SG
92,SG-BOTH-SUBSCRIPTION-002,720,subscription,2025-11-26 15:05:10.994361,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:10.994372,both,SG
93,SG-BOTH-SUBSCRIPTION-003,1020,subscription,2025-11-26 15:05:11.046502,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:11.046516,both,SG
94,SG-BOTH-SUBSCRIPTION-004,1450,subscription,2025-11-26 15:05:11.098395,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:11.098406,both,SG
95,SG-BOTH-SPECIALTY-001,220,specialty,2025-11-26 15:05:11.151069,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:11.151083,both,SG
96,SG-BOTH-SPECIALTY-002,140,specialty,2025-11-26 15:05:11.208673,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:11.208687,both,SG
97,AE-CAT-BASIC-001,220,basic,2025-11-26 15:05:11.262704,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:11.262716,cat,AE
98,AE-CAT-PREMIUM-001,275,premium,2025-11-26 15:05:11.318831,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:11.318844,cat,AE
99,AE-CAT-PREMIUM-002,350,premium,2025-11-26 15:05:11.374887,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:11.374898,cat,AE
100,AE-DOG-BASIC-001,200,basic,2025-11-26 15:05:11.43061,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:11.430624,dog,AE
101,AE-DOG-PREMIUM-001,275,premium,2025-11-26 15:05:11.487022,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:11.487035,dog,AE
102,AE-DOG-PREMIUM-002,380,premium,2025-11-26 15:05:11.542433,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:11.542445,dog,AE
103,AE-BOTH-SUBSCRIPTION-001,1250,subscription,2025-11-26 15:05:11.595101,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:11.595115,both,AE
104,AE-BOTH-SUBSCRIPTION-002,1900,subscription,2025-11-26 15:05:11.651167,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:11.65118,both,AE
105,AE-BOTH-SUBSCRIPTION-003,2700,subscription,2025-11-26 15:05:11.706267,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:11.706276,both,AE
106,AE-BOTH-SUBSCRIPTION-004,3800,subscription,2025-11-26 15:05:11.7592,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:11.759206,both,AE
107,AE-BOTH-SPECIALTY-001,550,specialty,2025-11-26 15:05:11.815199,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:11.815203,both,AE
108,AE-BOTH-SPECIALTY-002,350,specialty,2025-11-26 15:05:11.870379,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:11.870388,both,AE
109,JP-CAT-BASIC-001,12000,basic,2025-11-26 15:05:11.922464,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:11.922475,cat,JP
110,JP-CAT-PREMIUM-001,15000,premium,2025-11-26 15:05:11.975455,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:11.975461,cat,JP
111,JP-CAT-PREMIUM-002,19000,premium,2025-11-26 15:05:12.030312,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:12.030317,cat,JP
112,JP-DOG-BASIC-001,11000,basic,2025-11-26 15:05:12.083469,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:12.083474,dog,JP
113,JP-DOG-PREMIUM-001,15000,premium,2025-11-26 15:05:12.13861,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:12.138613,dog,JP
114,JP-DOG-PREMIUM-002,20000,premium,2025-11-26 15:05:12.194284,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:12.194288,dog,JP
115,JP-BOTH-SUBSCRIPTION-001,68000,subscription,2025-11-26 15:05:12.246659,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:12.246665,both,JP
116,JP-BOTH-SUBSCRIPTION-002,102000,subscription,2025-11-26 15:05:12.302378,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:12.302387,both,JP
117,JP-BOTH-SUBSCRIPTION-003,145000,subscription,2025-11-26 15:05:12.35448,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:12.354494,both,JP
118,JP-BOTH-SUBSCRIPTION-004,210000,subscription,2025-11-26 15:05:12.406936,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:12.406947,both,JP
119,JP-BOTH-SPECIALTY-001,32000,specialty,2025-11-26 15:05:12.462264,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:12.462274,both,JP
120,JP-BOTH-SPECIALTY-002,19000,specialty,2025-11-26 15:05:12.514709,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:12.514717,both,JP
121,FR-CAT-BASIC-001,75,basic,2025-11-26 15:05:12.570122,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:12.570128,cat,FR
122,FR-CAT-PREMIUM-001,95,premium,2025-11-26 15:05:12.622233,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:12.622243,cat,FR
123,FR-CAT-PREMIUM-002,120,premium,2025-11-26 15:05:12.674295,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:12.674307,cat,FR
124,FR-DOG-BASIC-001,70,basic,2025-11-26 15:05:12.727383,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:12.727396,dog,FR
125,FR-DOG-PREMIUM-001,95,premium,2025-11-26 15:05:12.782447,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:12.78246,dog,FR
126,FR-DOG-PREMIUM-002,125,premium,2025-11-26 15:05:12.838687,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:12.8387,dog,FR
127,FR-BOTH-SUBSCRIPTION-001,450,subscription,2025-11-26 15:05:12.894618,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:12.894632,both,FR
128,FR-BOTH-SUBSCRIPTION-002,680,subscription,2025-11-26 15:05:12.946635,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:12.946648,both,FR
129,FR-BOTH-SUBSCRIPTION-003,950,subscription,2025-11-26 15:05:13.002697,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:13.00271,both,FR
130,FR-BOTH-SUBSCRIPTION-004,1350,subscription,2025-11-26 15:05:13.058747,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:13.058758,both,FR
131,FR-BOTH-SPECIALTY-001,200,specialty,2025-11-26 15:05:13.1153,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:13.115312,both,FR
132,FR-BOTH-SPECIALTY-002,120,specialty,2025-11-26 15:05:13.171463,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:13.171477,both,FR
133,IT-CAT-BASIC-001,80,basic,2025-11-26 15:05:13.226358,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:13.226372,cat,IT
134,IT-CAT-PREMIUM-001,100,premium,2025-11-26 15:05:13.278406,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:13.278476,cat,IT
135,IT-CAT-PREMIUM-002,125,premium,2025-11-26 15:05:13.331744,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:13.331758,cat,IT
136,IT-DOG-BASIC-001,75,basic,2025-11-26 15:05:13.3872,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:13.387211,dog,IT
137,IT-DOG-PREMIUM-001,100,premium,2025-11-26 15:05:13.442408,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:13.44242,dog,IT
138,IT-DOG-PREMIUM-002,130,premium,2025-11-26 15:05:13.495222,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:13.495234,dog,IT
139,IT-BOTH-SUBSCRIPTION-001,480,subscription,2025-11-26 15:05:13.550465,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:13.550478,both,IT
140,IT-BOTH-SUBSCRIPTION-002,720,subscription,2025-11-26 15:05:13.602391,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:13.602403,both,IT
141,IT-BOTH-SUBSCRIPTION-003,1000,subscription,2025-11-26 15:05:13.658744,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:13.658756,both,IT
142,IT-BOTH-SUBSCRIPTION-004,1450,subscription,2025-11-26 15:05:13.714408,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:13.71442,both,IT
143,IT-BOTH-SPECIALTY-001,220,specialty,2025-11-26 15:05:13.767785,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:13.767799,both,IT
144,IT-BOTH-SPECIALTY-002,130,specialty,2025-11-26 15:05:13.822484,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:13.822497,both,IT
145,ES-CAT-BASIC-001,85,basic,2025-11-26 15:05:13.874669,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:13.874681,cat,ES
146,ES-CAT-PREMIUM-001,105,premium,2025-11-26 15:05:13.93104,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:13.931052,cat,ES
147,ES-CAT-PREMIUM-002,130,premium,2025-11-26 15:05:13.98641,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:13.986423,cat,ES
148,ES-DOG-BASIC-001,80,basic,2025-11-26 15:05:14.039155,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:14.039168,dog,ES
149,ES-DOG-PREMIUM-001,105,premium,2025-11-26 15:05:14.094329,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:14.09434,dog,ES
150,ES-DOG-PREMIUM-002,135,premium,2025-11-26 15:05:14.146379,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:14.146389,dog,ES
151,ES-BOTH-SUBSCRIPTION-001,500,subscription,2025-11-26 15:05:14.198371,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:14.198381,both,ES
152,ES-BOTH-SUBSCRIPTION-002,750,subscription,2025-11-26 15:05:14.251075,Monthly grooming subscription - Gold tier,0,gold,true,Gold Wellness,2025-11-26 15:05:14.251089,both,ES
153,ES-BOTH-SUBSCRIPTION-003,1050,subscription,2025-11-26 15:05:14.307139,Monthly grooming subscription - Platinum tier,0,platinum,true,Platinum Premium,2025-11-26 15:05:14.307151,both,ES
154,ES-BOTH-SUBSCRIPTION-004,1500,subscription,2025-11-26 15:05:14.363362,Monthly grooming subscription - Royal tier,0,crown,true,Royal PawTreat,2025-11-26 15:05:14.363366,both,ES
155,ES-BOTH-SPECIALTY-001,230,specialty,2025-11-26 15:05:14.419121,Professional grooming training,180,book,true,Grooming Class,2025-11-26 15:05:14.41913,both,ES
156,ES-BOTH-SPECIALTY-002,140,specialty,2025-11-26 15:05:14.475301,Pet boarding service,0,home,true,Boarding,2025-11-26 15:05:14.475314,both,ES
157,BR-CAT-BASIC-001,350,basic,2025-11-26 15:05:14.531406,Basic grooming package for cats,90,cat,true,Comfort Spa,2025-11-26 15:05:14.531418,cat,BR
158,BR-CAT-PREMIUM-001,450,premium,2025-11-26 15:05:14.586349,Premium hygiene care for cats,105,sparkles,true,Hygiene Deluxe,2025-11-26 15:05:14.586361,cat,BR
159,BR-CAT-PREMIUM-002,580,premium,2025-11-26 15:05:14.642411,Complete styling and grooming for cats,120,star,true,Glamour Groom,2025-11-26 15:05:14.642423,cat,BR
160,BR-DOG-BASIC-001,320,basic,2025-11-26 15:05:14.698551,Basic grooming package for dogs,90,dog,true,Fresh & Shine,2025-11-26 15:05:14.698564,dog,BR
161,BR-DOG-PREMIUM-001,450,premium,2025-11-26 15:05:14.750633,Premium hygiene care for dogs,105,sparkles,true,Hygiene Plus,2025-11-26 15:05:14.750644,dog,BR
162,BR-DOG-PREMIUM-002,620,premium,2025-11-26 15:05:14.806622,Complete styling and grooming for dogs,135,scissors,true,Ultimate Makeover,2025-11-26 15:05:14.806636,dog,BR
163,BR-BOTH-SUBSCRIPTION-001,1800,subscription,2025-11-26 15:05:14.85824,Monthly grooming subscription - Silver tier,0,silver,true,Silver Care,2025-11-26 15:05:14.858245,both,BR
